name,my_rating,imdb_rating,tmdb_rating,tmdb_count,metacritic_rating,budget,revenue,runtime,award_count,imdb_count,imdb_arithmetic_mean,imdb_median,imdb_top_1000_rating,imdb_top_1000_count,imdb_us_rating,imdb_us_count,imdb_not_us_rating,imdb_not_us_count,imdb_rating_percentile,tmdb_rating_percentile,metacritic_rating_percentile,is_action,is_comedy,is_adventure,is_animation,is_family,is_drama,is_scifi,is_thriller,is_rated_g,is_rated_pg,is_rated_pg13,is_rated_r,is_rated_nr,is_brad_pitt,is_stan_lee,is_christopher_nolan,is_spielberg,is_harrison_ford,is_matt_damon,is_wes_anderson,is_tom_cruise,is_john_williams,is_rdj,is_quentin_tarantino,is_tom_hanks,is_george_lucas,is_leonardo_dicaprio,is_the_rock,is_stanley_kubrick,is_john_hughes,is_jim_carrey,is_wally_pfister,is_henry_fonda,is_morgan_freeman,is_bong_joon_ho,is_dustin_hoffman,is_arnold_schwarz,is_jack_nicholson,is_aamir_khan,is_sean_connery,is_brad_bird,is_natalie_portman,is_robin_williams,is_sandra_bullock,is_bill_murray
The Emoji Movie,6,3.3,5.6,2513,12,50000000,216909830,86,0,62674,3.6,3,3.1,286,3.1,7220,3.6,18022,0.17064846416382254,2.04778156996587,3.9249146757679183,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spy Kids: All the Time in the World,25,3.5,4.7,788,37,27000000,85564310,89,0,25076,4,4,3.5,296,3.5,3742,3.5,9918,0.3412969283276451,0.5119453924914675,6.825938566552901,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lo más sencillo es complicarlo todo,9,3.8,6.2,130,28.780552790239053,0,0,93,0,694,3.9,4,3.6,8,4.7,48,3.9,275,0.5119453924914675,11.433447098976108,0.17064846416382254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wrinkle in Time,29,4.2,5.1,1583,53,103000000,132675864,109,0,44380,4.3,4,3.7,292,4.4,9999,4,12444,0.6825938566552902,1.023890784982935,22.18430034129693,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliens Ate My Homework,8,4.2,5.3,16,34.19681824770895,0,0,90,0,1457,7.7,0,4.2,46,4.6,172,4.1,172,0.6825938566552902,1.3651877133105803,0.17064846416382254,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Four,37,4.3,4.4,5123,40,120000000,167977596,100,0,163096,4.2,4,4.3,538,4.2,20664,4.4,62546,1.023890784982935,0.3412969283276451,9.215017064846416,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spy Kids 3-D: Game Over,35,4.3,5.1,1787,57,38000000,197011982,84,0,59433,4.6,4,4.2,427,4.2,11570,4.1,24208,1.023890784982935,1.023890784982935,26.791808873720136,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Jam: A New Legacy,17,4.4,7.1,3047,37,161900000,162892228,115,0,67465,4.7,5,4,238,4.1,9787,4.5,15935,1.3651877133105803,46.58703071672355,6.825938566552901,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunder Force,32,4.4,5.6,937,34,0,0,107,0,40571,4.5,5,4,203,4.9,5187,4.3,13384,1.3651877133105803,2.04778156996587,5.290102389078498,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin and the Chipmunks: The Squeakquel,19,4.5,5.6,2378,41,75000000,443140005,88,0,48127,4.9,5,4,359,4.2,7944,4.4,19958,1.7064846416382253,2.04778156996587,10.06825938566553,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Note,27,4.5,4.2,3448,43,50000000,0,101,0,83336,4.2,4,4.6,283,4.9,9358,4.6,29824,1.7064846416382253,0.17064846416382254,12.1160409556314,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yogi Bear,74,4.6,5.6,712,35,80000000,203509374,80,0,21799,4.9,5,4.3,276,4.4,3992,4.5,10448,2.04778156996587,2.04778156996587,5.802047781569966,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
